Pay Period,Facility,Cost Center,Department,Statistic,Target Hours per Statistic,Productive Hours,Actual Statistic,Hours Earned,Hours per UOS, Actual Productive FTEs , Flex Productive FTEs , Flex /Actual Percentage , Actual v Flex Productive FTE Variance , Actual Non-Productive FTEs , Budget Non-Productive FTEs , Actual v Bud Non-Productive FTE Variance , Actual Total FTEs , Premium Pay Percentage , Total Salaries , Budget Cost per UoS , Actual Cost per UoS 
2,10000,1006,Pediatrics,Equivalent Patient Days,18.43,895,49,903, 18.26 ,11.18,11.29,101%,0.11,3.98,2.28,-1.70,15.16,0.00%,"$1,137,094","$23,428","$23,206"
2,10000,1007,Intensive Care Nursery,Equivalent Patient Days,13.12,"1,407",125,"1,646", 11.22 ,17.59,20.57,117%,2.98,3.81,2.99,-0.82,21.40,0.92%,"$1,616,935","$14,964","$12,890"
2,10000,1009,Telemetry 2,Equivalent Patient Days,9.30,"2,667",308,"2,862", 8.67 ,33.34,35.77,107%,2.43,8.15,0.00,-8.15,41.49,2.72%,"$3,179,786","$10,850","$10,333"
2,10000,1013,Cardiac Thoracic ICU,Equivalent Patient Days,15.51,"1,766",142,"2,204", 12.43 ,22.07,27.55,125%,5.48,4.98,6.94,1.96,27.05,6.79%,"$2,141,324","$17,821","$15,069"
2,10000,1014,Intensive Care Unit,Equivalent Patient Days,16.79,"3,271",188,"3,159", 17.38 ,40.88,39.49,97%,-1.39,9.71,8.63,-1.08,50.59,2.08%,"$3,858,001","$19,479","$20,504"
2,10000,1021,6C,Equivalent Patient Days,9.19,"2,255",278,"2,558", 8.10 ,28.19,31.97,113%,3.78,5.46,0.00,-5.46,33.65,5.38%,"$2,637,487","$10,284","$9,476"
2,10000,1022,5C,Equivalent Patient Days,11.09,"2,313",249,"2,761", 9.29 ,28.91,34.51,119%,5.60,3.18,5.47,2.29,32.09,0.81%,"$2,424,102","$11,541","$9,738"
2,10000,1023,3B,Equivalent Patient Days,9.19,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.17,7.93,7.76,0.17,0.00%,"$12,750",$0,$0
2,10000,1024,3C,Equivalent Patient Days,10.12,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.00,4.50,4.50,0.00,0.00%,#DIV/0!,$0,$0
2,10000,1029,6A,Equivalent Patient Days,9.56,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
2,10000,1031,Clinical Decision Unit,Equivalent Patient Days,13.33,"1,453",136,"1,816", 10.67 ,18.16,22.70,125%,4.54,4.56,2.18,-2.38,22.72,2.09%,"$1,732,507","$15,635","$12,718"
2,10000,1035,Nursing Resource Team,Total Adult Days,0.00,20,"2,328",3, 0.01 ,0.25,0.04,15%,-0.21,1.64,1.25,-0.39,1.89,0.00%,"$141,375",$9,$61
2,10000,1049,One on One Staffing,Total Adult Days,0.55,999,"2,328","1,286", 0.43 ,12.48,16.08,129%,3.60,1.04,0.87,-0.17,13.52,21.01%,"$1,210,901",$561,$520
2,10000,1052,Monitor Techs,Calendar Days,70.08,963,14,0, 70.18 ,12.04,12.02,100%,-0.02,1.60,1.15,-0.45,13.64,12.46%,"$1,135,194","$74,434","$82,740"
2,10000,1090,4 Pavilion,Equivalent Patient Days,9.15,"2,651",273,"2,501", 9.70 ,33.14,31.26,94%,-1.88,5.15,8.27,3.12,38.29,1.82%,"$2,916,589","$9,907","$10,667"
2,10000,1091,5 Pavilion,Equivalent Patient Days,8.87,"2,455",233,"2,070", 10.53 ,30.69,25.87,84%,-4.81,8.10,7.27,-0.83,38.79,1.89%,"$2,952,395","$10,516","$12,658"
2,10000,2004,Resp. Therapy School,Calendar Days,22.92,325,14,0, 23.71 ,4.07,3.93,97%,-0.14,0.54,0.11,-0.43,4.61,0.00%,"$345,525","$24,342","$25,184"
2,10000,2005,Operating Room,OR Hours,6.35,"4,232",720,"4,576", 5.88 ,52.90,57.20,108%,4.30,14.02,7.03,-6.99,66.92,5.16%,"$5,224,156","$7,534","$7,252"
2,10000,2006,Recovery Room,PACU Hours,2.81,"1,804",891,"2,506", 2.03 ,22.55,31.32,139%,8.77,4.88,2.62,-2.26,27.43,5.91%,"$2,157,323","$3,208","$2,422"
2,10000,2007,Thoracic and Cardio Surg,Calendar Days,7.30,39,14,0, 2.86 ,0.49,1.25,255%,0.76,0.00,0.70,0.70,0.49,0.00%,"$36,750","$6,840","$2,679"
2,10000,2009,Surgicenter,Surgicenter Hours,6.74,71,7,46, 10.32 ,0.89,0.58,65%,-0.31,0.00,0.00,0.00,0.89,8.30%,"$71,887","$6,316","$10,479"
2,10000,2011,E/R Registration,ER Visits,0.51,993,"1,474",758, 0.67 ,12.42,9.48,76%,-2.94,1.62,1.04,-0.58,14.04,3.32%,"$1,083,543",$545,$735
2,10000,2012,Emergency Room,ER Visits,2.66,"4,736","1,474","3,916", 3.21 ,59.20,48.95,83%,-10.25,8.90,9.75,0.85,68.10,3.76%,"$5,274,788","$2,865","$3,579"
2,10000,2021,Wound Healing Center,Visits,1.31,200,144,188, 1.39 ,2.50,2.35,94%,-0.14,0.64,0.25,-0.39,3.14,0.00%,"$235,200","$1,539","$1,633"
2,10000,2027,Cancer Registry,Calendar Days,14.66,208,14,0, 15.13 ,2.59,2.51,97%,-0.08,0.35,0.42,0.07,2.94,0.00%,"$220,800","$15,598","$16,093"
2,10000,2028,Cardiology,Test/Procedures ,0.51,649,"1,373",700, 0.47 ,8.11,8.75,108%,0.65,0.55,0.71,0.16,8.66,1.70%,"$659,568",$511,$480
2,10000,2032,Cardiac Cath Lab,Test/Procedures ,7.34,"1,643",342,"2,510", 4.81 ,20.54,31.38,153%,10.84,2.39,2.75,0.36,22.93,7.24%,"$1,831,487","$7,682","$5,355"
2,10000,2036,Ophthalmic Service,Test/Procedures ,2.85,3,0,0, 0.00 ,0.04,0.00,0%,-0.04,0.00,0.00,0.00,0.04,0.00%,"$2,756",$0,$0
2,10000,2038,Physical Medicine,Test/Procedures ,0.05,"1,284","26,710","1,274", 0.05 ,16.04,15.93,99%,-0.12,1.39,1.84,0.45,17.43,7.36%,"$1,396,152",$49,$52
2,10000,2045,Cardiac Rehabilitation,Test/Procedures ,1.72,240,122,209, 1.97 ,3.00,2.61,87%,-0.39,0.41,0.43,0.02,3.41,0.00%,"$255,619","$1,833","$2,104"
2,10000,2047,Respiratory Therapy,Weighted Procedures,0.69,"1,738","2,797","1,930", 0.62 ,21.73,24.13,111%,2.40,3.99,3.76,-0.23,25.72,0.50%,"$1,936,803",$766,$692
2,10000,2048,Pulmonary-Cardio,Test/Procedures ,1.37,201,119,163, 1.70 ,2.52,2.03,81%,-0.48,0.27,0.27,0.00,2.79,0.00%,"$209,053","$1,425","$1,763"
2,10000,2052,Neurology,Test/Procedures ,4.01,133,33,134, 3.99 ,1.66,1.67,101%,0.01,0.43,0.30,-0.13,2.09,0.00%,"$156,741","$4,733","$4,704"
2,10000,2054,Central Sterile Supply,Adult Discharges,3.13,"1,740",613,"1,921", 2.84 ,21.76,24.01,110%,2.25,3.23,2.29,-0.94,24.99,12.70%,"$2,081,112","$3,371","$3,392"
2,10000,2055,Pharmacy,Total Adult Days,1.39,"2,947","2,328","3,241", 1.27 ,36.83,40.51,110%,3.68,6.06,4.79,-1.27,42.89,5.05%,"$3,356,588","$1,520","$1,442"
2,10000,2056,IV Therapy,Total Adult Days,0.30,715,"2,328",692, 0.31 ,8.94,8.64,97%,-0.30,1.91,2.00,0.09,10.85,4.18%,"$841,946",$338,$362
2,10000,2057,General Radiology,Calendar Days,39.40,519,14,0, 37.84 ,6.49,6.76,104%,0.27,1.80,0.86,-0.94,8.29,0.07%,"$622,072","$47,180","$45,341"
2,10000,2058,Diagnostic Radiology,Test/Procedures ,0.60,959,"1,634",980, 0.59 ,11.98,12.25,102%,0.27,2.28,1.99,-0.29,14.26,0.00%,"$1,069,763",$670,$655
2,10000,2059,CAT Scan,Test/Procedures ,0.87,668,876,763, 0.76 ,8.35,9.54,114%,1.19,0.73,1.70,0.97,9.08,10.01%,"$743,833",$888,$849
2,10000,2060,Ultrasound,Test/Procedures ,1.16,416,348,404, 1.20 ,5.20,5.04,97%,-0.16,0.64,1.00,0.36,5.84,3.25%,"$450,696","$1,221","$1,295"
2,10000,2061,Radiology Special,Test/Procedures ,5.34,591,95,508, 6.22 ,7.39,6.35,86%,-1.05,0.89,0.90,0.01,8.28,7.58%,"$663,267","$5,609","$6,977"
2,10000,2063,Nuclear Medicine,Test/Procedures ,2.66,123,49,130, 2.50 ,1.53,1.63,106%,0.10,0.22,0.15,-0.07,1.75,6.83%,"$139,188","$2,850","$2,841"
2,10000,2064,Radiation Therapy,Weighted Procedures,1.98,680,360,712, 1.89 ,8.50,8.90,105%,0.40,0.66,0.95,0.29,9.16,0.00%,"$687,113","$2,001","$1,910"
2,10000,2065,Oncology,Calendar Days,28.09,429,14,0, 31.25 ,5.36,4.82,90%,-0.54,0.61,0.57,-0.04,5.97,0.00%,"$447,703","$29,327","$32,631"
2,10000,2066,MRI Center,Test/Procedures ,1.34,219,162,217, 1.35 ,2.74,2.71,99%,-0.03,0.47,0.36,-0.11,3.21,3.44%,"$247,658","$1,472","$1,532"
2,10000,2078,Endoscopy,Test/Procedures ,6.07,580,97,589, 5.98 ,7.25,7.36,102%,0.11,2.38,1.71,-0.67,9.63,4.13%,"$744,882","$7,558","$7,678"
2,10000,2080,TMS Therapy,Test/Procedures ,0.00,0,9,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
2,10000,2112,OP Admin. Radiology Clerical,Total Radiology Founders,0.04,86,"1,482",66, 0.06 ,1.08,0.83,77%,-0.25,0.00,0.20,0.20,1.08,0.28%,"$81,305",$42,$55
2,10000,2113,OP Diagnostic Radiology,Test/Procedures ,0.28,116,303,84, 0.38 ,1.45,1.05,72%,-0.41,0.16,0.31,0.15,1.61,0.00%,"$120,872",$288,$399
2,10000,2114,OP Cat Scan,Test/Procedures ,0.74,156,191,142, 0.82 ,1.95,1.78,91%,-0.17,0.06,0.34,0.28,2.01,11.91%,"$168,229",$720,$880
2,10000,2115,OP Ultrasound,Test/Procedures ,0.48,158,342,164, 0.46 ,1.98,2.05,104%,0.07,0.12,0.44,0.32,2.10,1.75%,"$159,739",$476,$467
2,10000,2117,Breast Diagnostic Services,Test/Procedures ,0.78,511,646,503, 0.79 ,6.39,6.28,98%,-0.10,1.12,0.51,-0.61,7.51,2.00%,"$572,699",$858,$887
2,10000,2125,CCOP,Calendar Days,7.06,47,14,0, 3.43 ,0.59,1.21,206%,0.62,0.00,0.02,0.02,0.59,0.00%,"$44,100","$6,620","$3,214"
2,10000,2126,Employeearmacy,Calendar Days,72.96,"1,321",14,0, 96.30 ,16.52,12.51,76%,-4.00,0.59,1.14,0.55,17.11,10.89%,"$1,417,799","$70,844","$103,338"
2,10000,2136,Pre-Admission Testing,Adult Discharges,1.68,915,613,"1,033", 1.49 ,11.43,12.91,113%,1.48,2.36,1.58,-0.78,13.79,0.04%,"$1,034,799","$1,905","$1,687"
2,10000,2152,Bariatric Surgery Program,Calendar Days,13.42,124,14,0, 9.05 ,1.55,2.30,148%,0.75,1.22,0.12,-1.10,2.77,0.00%,"$207,956","$22,474","$15,157"
2,10000,2155,Neuro Interventional Lab,Test/Procedures ,0.21,346,"2,058",427, 0.17 ,4.32,5.34,123%,1.02,1.21,1.01,-0.20,5.53,26.47%,"$500,907",$249,$243
2,10000,2310,Radiology OP Diagno XRay HC,Test/Procedures ,0.39,83,196,76, 0.43 ,1.04,0.95,91%,-0.09,0.00,0.00,0.00,1.04,0.00%,"$78,094",$362,$398
2,10000,2311,Radiology OP CAT Scan HC,Test/Procedures ,0.63,110,171,108, 0.64 ,1.37,1.35,99%,-0.02,0.13,0.50,0.37,1.50,0.00%,"$112,425",$650,$659
2,10000,2312,Radiology OP Ultrasound HC,Test/Procedures ,0.65,80,142,92, 0.56 ,1.00,1.15,115%,0.15,0.10,0.00,-0.10,1.10,0.00%,"$82,603",$668,$581
2,10000,2313,Mammography OP HC,Test/Procedures ,0.64,134,161,103, 0.83 ,1.67,1.29,77%,-0.38,0.49,0.62,0.13,2.16,0.00%,"$162,159",$779,"$1,009"
2,10000,2315,Cardiac Rehab OP HC,Calendar Days,6.26,163,14,0, 11.87 ,2.04,1.07,53%,-0.96,0.19,0.01,-0.18,2.23,0.00%,"$166,988","$6,418","$12,171"
2,10000,2316,Cardiology OP HC,Test/Procedures ,2.24,188,107,239, 1.76 ,2.35,2.99,127%,0.64,0.29,0.33,0.04,2.64,0.12%,"$198,129","$2,356","$1,855"
2,10000,2318,PM and R OP HC,Test/Procedures ,0.04,432,"11,466",512, 0.04 ,5.40,6.40,118%,1.00,1.12,0.96,-0.16,6.52,0.19%,"$489,930",$51,$43
2,10000,2320,Radiation Therapy OP HC,Weighted Procedures,1.95,428,275,537, 1.56 ,5.35,6.71,125%,1.36,1.23,0.56,-0.67,6.58,0.00%,"$493,284","$2,252","$1,794"
2,10000,2321,Sleep Study OP HC,Test/Procedures ,10.50,247,25,268, 9.68 ,3.08,3.34,108%,0.26,0.10,0.25,0.15,3.18,0.00%,"$238,800","$10,163","$9,372"
2,10000,2322,Diabetes Management HC,Test/Procedures ,1.22,160,148,181, 1.08 ,1.99,2.26,113%,0.27,0.10,0.07,-0.03,2.09,0.15%,"$157,250","$1,203","$1,063"
2,10000,4000,Nursing Administration,Calendar Days,86.69,"1,349",14,0, 98.36 ,16.87,14.87,88%,-2.00,2.02,1.98,-0.04,18.89,2.16%,"$1,443,894","$91,002","$105,240"
2,10000,4002,Staff Development,Calendar Days,45.39,635,14,0, 46.29 ,7.94,7.78,98%,-0.15,1.08,1.88,0.80,9.02,0.00%,"$676,350","$48,341","$49,297"
2,10000,4003,Central Transport,Discharges/100,135.38,"1,056",6,830, 172.30 ,13.20,10.37,79%,-2.83,1.76,0.92,-0.84,14.96,11.05%,"$1,231,600","$143,838","$200,914"
2,10000,4004,Nurse Residents,Calendar Days,1.61,31,14,0, 2.29 ,0.39,0.28,70%,-0.12,0.54,0.65,0.11,0.93,0.00%,"$69,900","$3,588","$5,095"
2,10000,4005,Staffing Office,Calendar Days,15.95,252,14,0, 18.37 ,3.15,2.73,87%,-0.42,0.14,0.32,0.18,3.29,10.43%,"$271,490","$15,614","$19,788"
2,10000,4013,Division of Surgery,Calendar Days,2.85,0,14,0, 0.00 ,0.00,0.49,0%,0.49,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
2,10000,4019,Case Mangement,Calendar Days,109.69,"1,618",14,0, 117.96 ,20.23,18.81,93%,-1.42,3.13,1.21,-1.92,23.36,0.69%,"$1,762,608","$118,741","$128,470"
2,10000,4020,Pediatrics / Neonatology Off,Calendar Days,8.83,101,14,0, 7.36 ,1.26,1.51,120%,0.25,0.39,0.09,-0.30,1.65,1.67%,"$125,458","$10,840","$9,144"
2,10000,4022,Admissions,Calendar Days,23.27,231,14,0, 16.84 ,2.89,3.99,138%,1.10,1.08,0.47,-0.61,3.97,0.15%,"$297,934","$29,968","$21,715"
2,10000,4023,Quality Outcomes,Calendar Days,21.77,220,14,0, 16.00 ,2.74,3.73,136%,0.99,0.29,0.20,-0.09,3.03,0.00%,"$227,550","$22,565","$16,585"
2,10000,4028,Continuing Medical Education,Calendar Days,4.06,63,14,0, 4.57 ,0.78,0.70,89%,-0.09,0.00,0.02,0.02,0.78,0.00%,"$58,800","$3,811","$4,286"
2,10000,4030,Food Service,Total Adjusted Adult Days,1.19,"4,117","3,525","4,195", 1.17 ,51.46,52.44,102%,0.98,6.36,5.85,-0.51,57.82,3.62%,"$4,476,062","$1,254","$1,270"
2,10000,4033,Housekeeping,1000 Net Square Feet Cleaned,236.88,"4,447",19,"4,588", 229.59 ,55.59,57.35,103%,1.76,6.61,6.41,-0.20,62.20,10.52%,"$5,103,486","$248,481","$263,474"
2,10000,4034,Laundry,100 Adjusted Discharges,22.96,118,10,228, 11.84 ,1.47,2.85,194%,1.38,0.00,0.77,0.77,1.47,6.67%,"$117,600","$21,525","$11,843"
2,10000,4046,Security,1000 Sq Ft Patrolled,35.19,"1,379",52,"1,818", 26.69 ,17.24,22.72,132%,5.49,4.04,2.03,-2.01,21.28,7.13%,"$1,687,803","$40,724","$32,671"
2,10000,4067,Business Office,Calendar Days,19.28,248,14,0, 18.05 ,3.10,3.31,107%,0.21,0.44,0.85,0.41,3.54,8.57%,"$285,123","$20,641","$20,782"
2,10000,4068,OP Registration and Admin.,Calendar Days,84.08,"1,423",14,0, 103.75 ,17.79,14.42,81%,-3.37,2.67,1.11,-1.56,20.46,3.68%,"$1,583,871","$90,656","$115,443"
2,10000,4073,Cashiering,Calendar Days,9.26,118,14,0, 8.57 ,1.47,1.59,108%,0.12,0.10,0.11,0.01,1.57,0.00%,"$117,750","$9,269","$8,582"
2,10000,4098,Executive Office,Calendar Days,14.87,204,14,0, 14.86 ,2.55,2.55,100%,0.00,0.20,0.17,-0.03,2.75,0.00%,"$206,100","$15,036","$15,022"
2,10000,4099,Administration,Calendar Days,13.09,165,14,0, 12.04 ,2.06,2.25,109%,0.18,0.49,0.20,-0.29,2.55,0.00%,"$191,559","$15,186","$13,962"
2,10000,4103,Quality Management,Calendar Days,13.12,108,14,0, 7.86 ,1.35,2.25,167%,0.90,0.37,0.39,0.02,1.72,0.00%,"$128,813","$15,672","$9,389"
2,10000,4108,Marketing,Calendar Days,0.00,0,14,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
2,10000,4109,Development,Calendar Days,14.68,259,14,0, 18.86 ,3.23,2.52,78%,-0.72,0.00,0.04,0.04,3.23,0.00%,"$242,550","$13,764","$17,679"
2,10000,4110,Human Resources,Calendar Days,29.10,422,14,0, 30.73 ,5.27,4.99,95%,-0.28,1.21,1.16,-0.05,6.48,0.14%,"$486,598","$33,549","$35,466"
2,10000,4122,Supply Chain Management,Calendar Days,79.74,"1,202",14,0, 87.62 ,15.03,13.68,91%,-1.35,0.93,1.19,0.26,15.96,2.19%,"$1,221,479","$79,384","$89,029"
2,10000,4127,Volunteers,Calendar Days,4.40,72,14,0, 5.23 ,0.90,0.75,84%,-0.14,0.00,0.13,0.13,0.90,0.68%,"$67,753","$4,122","$4,938"
2,10000,4131,Risk Management,Calendar Days,4.88,0,14,0, 0.00 ,0.00,0.84,0%,0.84,0.98,0.14,-0.84,0.98,0.00%,"$73,500",$0,"$5,357"
2,10000,4134,Medical Library,Calendar Days,6.40,94,14,0, 6.86 ,1.18,1.10,93%,-0.08,0.00,0.27,0.27,1.18,0.00%,"$88,200","$5,998","$6,429"
2,10000,4135,Chaplaincy,Calendar Days,4.94,55,14,0, 4.00 ,0.69,0.85,124%,0.16,0.29,0.10,-0.19,0.98,0.00%,"$73,200","$6,591","$5,335"
2,10000,4137,Community Services,Calendar Days,38.74,414,14,0, 30.21 ,5.18,6.64,128%,1.46,0.67,0.17,-0.50,5.85,0.00%,"$438,825","$41,019","$31,984"
2,10000,4139,Former Employees,Calendar Days,0.00,0,14,0, 0.00 ,0.00,0.00,0%,0.00,0.98,0.00,-0.98,0.98,0.00%,"$73,500",$0,"$5,357"
2,10000,4155,Service Center,Calendar Days,15.33,202,14,0, 14.71 ,2.52,2.63,104%,0.11,0.10,0.13,0.03,2.62,0.23%,"$197,205","$14,942","$14,374"
2,10000,4159,Transfer Center,Calendar Days,0.56,146,14,0, 10.63 ,1.82,0.10,5%,-1.73,0.10,0.00,-0.10,1.92,0.00%,"$144,169",$557,"$10,508"
2,10000,4167,Hospitality,Calendar Days,24.82,439,14,0, 32.02 ,5.49,4.26,78%,-1.23,0.00,0.13,0.13,5.49,0.67%,"$414,581","$23,270","$30,217"
2,10000,4205,OR Scheduling,Calendar Days,19.76,71,14,0, 5.14 ,0.88,3.39,384%,2.51,0.10,0.49,0.39,0.98,0.00%,"$73,650","$20,620","$5,368"
2,10000,4209,Development Capital Campaign,Calendar Days,10.46,118,14,0, 8.57 ,1.47,1.79,122%,0.32,0.00,0.65,0.65,1.47,0.00%,"$110,250","$9,803","$8,036"
2,10000,4250,JLL Maintenance,1000 Net Square Feet Maintained,71.33,"1,715",26,"1,880", 65.07 ,21.44,23.50,110%,2.06,3.01,2.59,-0.42,24.45,0.73%,"$1,845,468","$76,260","$70,010"
2,10000,4301,Administration HC,Calendar Days,0.96,16,14,0, 1.14 ,0.20,0.17,84%,-0.03,0.00,0.00,0.00,0.20,0.00%,"$14,700",$902,"$1,071"
2,10000,4303,Medical Office Bldg HC,Calendar Days,6.76,37,14,0, 2.70 ,0.46,1.16,251%,0.70,0.12,0.00,-0.12,0.58,0.00%,"$43,678","$7,984","$3,184"
2,10000,4304,Registration HC,Calendar Days,14.90,405,14,0, 29.54 ,5.07,2.56,50%,-2.51,0.03,0.20,0.17,5.10,0.42%,"$383,752","$14,055","$27,970"
2,10000,4401,Interns and Residents,Calendar Days,5.75,71,14,0, 5.14 ,0.88,0.99,112%,0.10,0.00,0.08,0.08,0.88,0.00%,"$66,150","$5,391","$4,821"
2,10000,4413,Family Medicine Residents,Calendar Days,78.42,"1,162",14,0, 84.68 ,14.52,13.45,93%,-1.07,0.18,0.18,0.00,14.70,0.00%,"$1,102,678","$74,434","$80,370"
2,10000,4415,Radiology Residents,Calendar Days,96.33,"1,089",14,0, 79.36 ,13.61,16.52,121%,2.91,0.11,0.00,-0.11,13.72,0.00%,"$1,028,981","$91,043","$74,999"
2,10000,4416,Podiatry Residents,Calendar Days,55.84,754,14,0, 54.95 ,9.42,9.58,102%,0.15,0.00,0.00,0.00,9.42,0.00%,"$706,744","$52,354","$51,512"
2,10000,4417,Breast Surgery Fellows,Calendar Days,11.43,173,14,0, 12.61 ,2.16,1.96,91%,-0.20,0.00,0.00,0.00,2.16,0.00%,"$162,159","$10,714","$11,819"
2,11000,1001,Mother / Baby Unit,Equivalent Patient Days,17.58,"2,859",178,"3,135", 16.03 ,35.74,39.19,110%,3.45,6.17,7.90,1.73,41.91,1.89%,"$3,193,957","$19,323","$17,907"
2,11000,1003,Delivery Rooms,Delivery,25.28,"3,180",133,"3,369", 23.86 ,39.74,42.11,106%,2.37,6.44,6.11,-0.33,46.18,3.40%,"$3,565,243","$27,539","$26,750"
2,11000,1004,Antenatal Unit,Equivalent Patient Days,16.32,438,65,"1,055", 6.78 ,5.48,13.19,241%,7.71,0.54,1.88,1.34,6.02,9.36%,"$490,025","$16,804","$7,576"
2,11000,1005,Perinatal Testing Center,Test/Procedures ,0.83,610,643,532, 0.95 ,7.63,6.65,87%,-0.98,1.60,1.37,-0.23,9.23,0.10%,"$692,716",$938,"$1,078"
2,11000,1007,Intensive Care Nursery,Equivalent Patient Days,11.76,"2,884",270,"3,169", 10.70 ,36.05,39.61,110%,3.56,4.99,8.66,3.67,41.04,4.31%,"$3,194,316","$12,548","$11,853"
2,11000,1008,2 Pavilion Stepdown,Equivalent Patient Days,11.83,"1,939",174,"2,063", 11.11 ,24.23,25.79,106%,1.56,4.66,4.97,0.31,28.89,4.61%,"$2,250,809","$13,221","$12,903"
2,11000,1010,3 South,Equivalent Patient Days,9.33,"2,959",338,"3,156", 8.75 ,36.99,39.45,107%,2.46,5.42,6.75,1.33,42.41,4.53%,"$3,306,524","$10,033","$9,780"
2,11000,1016,1 South,Equivalent Patient Days,9.25,"2,775",314,"2,899", 8.85 ,34.68,36.24,104%,1.56,8.13,8.19,0.06,42.81,6.42%,"$3,378,044","$10,699","$10,772"
2,11000,1017,2 Rosengarten,Equivalent Patient Days,10.37,"1,744",180,"1,870", 9.67 ,21.80,23.37,107%,1.58,3.98,5.05,1.07,25.78,2.20%,"$1,969,106","$11,497","$10,920"
2,11000,1018,2 South,Equivalent Patient Days,11.73,"2,485",220,"2,575", 11.32 ,31.06,32.18,104%,1.12,4.88,7.05,2.17,35.94,4.35%,"$2,796,957","$12,723","$12,741"
2,11000,1019,2 Southwest,Equivalent Patient Days,8.76,"2,485",305,"2,671", 8.15 ,31.07,33.39,107%,2.32,6.30,6.39,0.09,37.37,7.91%,"$2,986,888","$9,883","$9,800"
2,11000,1020,3 Southwest,Equivalent Patient Days,9.46,"3,067",347,"3,283", 8.84 ,38.33,41.03,107%,2.70,5.27,9.90,4.63,43.60,4.97%,"$3,413,199","$10,090","$9,839"
2,11000,1026,3 East,Equivalent Patient Days,11.85,"1,184",97,"1,150", 12.20 ,14.80,14.38,97%,-0.43,0.74,0.05,-0.69,15.54,6.40%,"$1,236,667","$11,669","$12,747"
2,11000,1030,4 SW,Equivalent Patient Days,43.24,744,35,"1,525", 21.08 ,9.29,19.07,205%,9.77,0.32,1.19,0.87,9.61,13.22%,"$813,269","$41,931","$23,052"
2,11000,1035,Nursing Resource Team,Total Adult Days,0.00,20,"3,501",0, 0.01 ,0.25,0.00,0%,-0.25,1.32,0.00,-1.32,1.57,0.00%,"$117,375",$0,$34
2,11000,1037,NPPA,Total Adult Days,0.20,302,"3,501",690, 0.09 ,3.77,8.62,229%,4.85,0.98,1.29,0.31,4.75,0.00%,"$356,475",$233,$102
2,11000,1044,1 SW,Equivalent Patient Days,9.57,"2,310",252,"2,409", 9.17 ,28.88,30.12,104%,1.24,5.12,5.93,0.81,34.00,3.63%,"$2,628,353","$10,559","$10,436"
2,11000,1049,One on One Staffing,Total Adult Days,0.09,520,"3,501",315, 0.15 ,6.50,3.94,61%,-2.56,0.00,0.00,0.00,6.50,60.70%,"$783,234",$84,$224
2,11000,1051,IV Team,Total Adult Days,0.22,733,"3,501",764, 0.21 ,9.16,9.55,104%,0.39,1.50,1.06,-0.44,10.66,2.61%,"$817,685",$238,$234
2,11000,1052,Monitor Techs,Calendar Days,69.62,971,14,0, 70.80 ,12.14,11.94,98%,-0.20,1.34,0.98,-0.36,13.48,12.94%,"$1,129,076","$72,467","$82,294"
2,11000,1053,6 West,Test/Procedures ,4.38,469,159,696, 2.95 ,5.86,8.70,148%,2.84,0.78,1.24,0.46,6.64,0.60%,"$500,521","$4,655","$3,153"
2,11000,1080,CICU,Equivalent Patient Days,17.52,"5,741",358,"6,266", 16.05 ,71.77,78.32,109%,6.55,16.89,21.70,4.81,88.66,0.96%,"$6,701,119","$20,286","$18,734"
2,11000,1081,1 Pavilion,Equivalent Patient Days,11.16,"3,512",361,"4,025", 9.74 ,43.90,50.31,115%,6.41,5.40,7.25,1.85,49.30,2.01%,"$3,764,065","$11,750","$10,437"
2,11000,1082,2 Pavilion,Equivalent Patient Days,19.66,"3,339",177,"3,487", 18.82 ,41.73,43.59,104%,1.86,10.93,10.71,-0.22,52.66,3.54%,"$4,060,554","$23,259","$22,892"
2,11000,1083,SICU,Equivalent Patient Days,21.15,341,12,249, 29.02 ,4.27,3.11,73%,-1.16,0.00,0.42,0.42,4.27,9.83%,"$351,417","$19,831","$29,882"
2,11000,2001,Clinic Medicine,Visits,9.23,653,50,461, 13.07 ,8.16,5.77,71%,-2.40,0.61,1.42,0.81,8.77,1.29%,"$666,006","$9,303","$13,325"
2,11000,2005,Operating Room,OR Hours,6.56,"5,702",747,"4,899", 7.64 ,71.27,61.24,86%,-10.04,18.71,19.61,0.90,89.98,12.94%,"$7,440,259","$7,766","$9,964"
2,11000,2006,Recovery Room,PACU Hours,3.11,"1,734",607,"1,890", 2.86 ,21.68,23.62,109%,1.94,3.18,2.61,-0.57,24.86,6.96%,"$1,977,376","$3,347","$3,258"
2,11000,2007,Thoracic and Cardio Surg,Calendar Days,33.65,437,14,0, 31.86 ,5.46,5.77,106%,0.31,0.98,0.50,-0.48,6.44,0.00%,"$483,263","$37,205","$35,223"
