What is the total savings opportunity of those departments?,,,,,,
"Of those departments from 2, take the average Salary per FTE (AVG Salaries / AVG Total FTEs) * AVERAGE of  Actual v Flex Productive FTE Variance = Savings",,,,,,
Facility,Department,AVERAGE of  Flex /Actual Percentage ,AVERAGE of  Actual v Flex Productive FTE Variance ,AVERAGE of  Actual Total FTEs ,AVERAGE of  Total Salaries ,Savings
20000,OR Scheduling,100%,0.01,2.05,"$153,696",
20000,Orthopedics,89%,-0.91,9.32,"$699,179",
20000,Outpatient PM and R,107%,0.88,13.26,"$994,664",
20000,Perinatal Testing Center,98%,-0.06,2.42,"$181,872",
20000,Pharmacy,129%,6.98,27.42,"$2,118,896",
20000,Physical Medicine,125%,3.96,17.89,"$1,400,581",
20000,PM&R TCC,0%,-4.13,4.13,"$319,632","$319,632"
20000,Pre-Admission Testing,100%,0.03,7.30,"$551,797",
20000,Pulmonary-Cardio,127%,0.20,1.57,"$118,955",
20000,Quality Management,97%,-0.06,2.05,"$153,669",
20000,Quality Outcomes,89%,-0.32,2.87,"$215,042",
20000,Recovery Room,106%,0.71,14.73,"$1,139,959",
20000,Respiratory Therapy,93%,-0.79,12.27,"$930,891",
20000,Risk Management,102%,0.03,2.05,"$153,773",
20000,Security,105%,0.80,16.21,"$1,287,621",
20000,Severance,0%,0.00,0.00,#DIV/0!,
20000,Sleep Study,146%,1.44,3.56,"$281,057",
20000,Staff Development,106%,0.35,5.51,"$413,162",
20000,Supply Chain Management,93%,-0.77,11.21,"$840,706",
20000,Surgicenter,109%,0.67,9.55,"$736,881",
20000,Telemetry 2,112%,3.20,31.82,"$2,456,183",
20000,Tobacco Cessation,97%,-0.03,1.12,"$84,036",
20000,Transitional Care Center,105%,0.87,21.87,"$1,678,025",
20000,Ultrasound,101%,0.04,6.39,"$521,483",
20000,Volunteers,90%,-0.14,1.34,"$100,620",
20000,Wound Healing Center,140%,0.65,2.03,"$152,324",
